0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:18:21 +0530] "POST /papi/schedule/sharemessage HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:18:24 +0530] "GET /papi/schedule/getmessagelist/1 HTTP/1.1" 200 3470
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:19:22 +0530] "POST /papi/schedule/sharemessage HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:19:26 +0530] "GET /papi/schedule/getmessagelist/1 HTTP/1.1" 200 3589
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:19:47 +0530] "GET /papi-front/index.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:19:53 +0530] "GET /papi-front/js/utility.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:19:53 +0530] "GET /papi-front/js/base.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:19:55 +0530] "GET /papi-front/view/chatScreen.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:19:55 +0530] "GET /papi/group/getGroupList HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:19:55 +0530] "GET /papi/schedule/getmessagelist/1 HTTP/1.1" 200 3589
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:22:37 +0530] "POST /papi/schedule/sharemessage HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:22:37 +0530] "GET /papi/schedule/getmessagelist/1 HTTP/1.1" 200 3715
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:23:35 +0530] "POST /papi/schedule/sharemessage HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:23:35 +0530] "GET /papi/schedule/getmessagelist/1 HTTP/1.1" 200 3835
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:23:48 +0530] "POST /papi/schedule/sharemessage HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:23:48 +0530] "GET /papi/schedule/getmessagelist/1 HTTP/1.1" 200 3961
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:24:03 +0530] "POST /papi/schedule/sharemessage HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:24:03 +0530] "GET /papi/schedule/getmessagelist/1 HTTP/1.1" 200 4083
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:27:47 +0530] "GET /papi-front/index.html? HTTP/1.1" 200 2943
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:27:47 +0530] "GET /papi-front/css/forms.css HTTP/1.1" 200 2550
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:27:47 +0530] "GET /papi-front/css/main.css HTTP/1.1" 200 3905
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:27:47 +0530] "GET /papi-front/css/side-menu.css HTTP/1.1" 200 4703
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:27:47 +0530] "GET /papi-front/css/scheduler.css HTTP/1.1" 200 3988
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:27:47 +0530] "GET /papi-front/js/base.js HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:27:47 +0530] "GET /papi-front/js/utility.js HTTP/1.1" 200 9708
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:27:47 +0530] "GET /papi-front/images/image1.jpg HTTP/1.1" 200 269302
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:27:48 +0530] "GET /papi-front/view/common/side_menu.html HTTP/1.1" 200 3435
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:27:48 +0530] "GET /papi-front/view/home.html HTTP/1.1" 200 3214
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:27:48 +0530] "GET /papi-front/css/home.css HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:27:49 +0530] "GET /papi-front/view/chatScreen.html HTTP/1.1" 200 2448
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:27:49 +0530] "GET /papi/group/getGroupList HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:27:49 +0530] "GET /papi/schedule/getmessagelist/1 HTTP/1.1" 200 4083
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:27:54 +0530] "POST /papi/schedule/sharemessage HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:27:54 +0530] "GET /papi/schedule/getmessagelist/1 HTTP/1.1" 200 4208
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:28:02 +0530] "POST /papi/schedule/sharemessage HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:28:02 +0530] "GET /papi/schedule/getmessagelist/1 HTTP/1.1" 200 4332
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:28:15 +0530] "POST /papi/schedule/sharemessage HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:28:15 +0530] "GET /papi/schedule/getmessagelist/1 HTTP/1.1" 200 4456
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:29:20 +0530] "GET /papi-front/index.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:29:20 +0530] "GET /papi-front/js/base.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:29:20 +0530] "GET /papi-front/js/utility.js HTTP/1.1" 200 9698
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:29:23 +0530] "GET /papi/group/getGroupList HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:29:23 +0530] "GET /papi/schedule/getmessagelist/1 HTTP/1.1" 200 4456
0:0:0:0:0:0:0:1 - - [23/Apr/2018:17:29:34 +0530] "POST /papi/schedule/sharemessage HTTP/1.1" 200 -
