0:0:0:0:0:0:0:1 - - [04/May/2018:17:22:44 +0530] "GET /papi-ui/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:22:44 +0530] "GET /papi-ui/js/base.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:22:44 +0530] "GET /papi-ui/js/sideMenu.js HTTP/1.1" 200 2498
0:0:0:0:0:0:0:1 - - [04/May/2018:17:22:53 +0530] "GET /papi-ui/view/common/side_menu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:23:16 +0530] "GET /papi-ui/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:23:16 +0530] "GET /papi-ui/js/sideMenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:23:16 +0530] "GET /papi-ui/js/base.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:23:39 +0530] "GET /papi-ui/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:23:39 +0530] "GET /papi-ui/js/sideMenu.js HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [04/May/2018:17:23:48 +0530] "GET /papi-ui/view/common/side_menu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:24:36 +0530] "GET /papi-ui/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:24:36 +0530] "GET /papi-ui/js/base.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:24:36 +0530] "GET /papi-ui/js/sideMenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:24:44 +0530] "GET /papi-ui/login.html HTTP/1.1" 200 871
0:0:0:0:0:0:0:1 - - [04/May/2018:17:24:46 +0530] "GET /papi-ui/view/common/side_menu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:25:38 +0530] "GET /papi-ui/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:25:38 +0530] "GET /papi-ui/js/base.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:25:38 +0530] "GET /papi-ui/js/sideMenu.js HTTP/1.1" 200 2507
0:0:0:0:0:0:0:1 - - [04/May/2018:17:25:38 +0530] "GET /papi-ui/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:25:40 +0530] "GET /papi-ui/view/common/side_menu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:26:14 +0530] "GET /papi-ui/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:26:14 +0530] "GET /papi-ui/js/sideMenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:26:17 +0530] "GET /papi-ui/login.html HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [04/May/2018:17:26:47 +0530] "GET /papi-ui/ HTTP/1.1" 200 5589
0:0:0:0:0:0:0:1 - - [04/May/2018:17:26:47 +0530] "GET /papi-ui/css/login.css HTTP/1.1" 200 3520
0:0:0:0:0:0:0:1 - - [04/May/2018:17:26:47 +0530] "GET /papi-ui/css/forms.css HTTP/1.1" 200 2872
0:0:0:0:0:0:0:1 - - [04/May/2018:17:26:47 +0530] "GET /papi-ui/css/side-menu.css HTTP/1.1" 200 4899
0:0:0:0:0:0:0:1 - - [04/May/2018:17:26:47 +0530] "GET /papi-ui/css/main.css HTTP/1.1" 200 4135
0:0:0:0:0:0:0:1 - - [04/May/2018:17:26:47 +0530] "GET /papi-ui/css/scheduler.css HTTP/1.1" 200 3988
0:0:0:0:0:0:0:1 - - [04/May/2018:17:26:47 +0530] "GET /papi-ui/js/base.js HTTP/1.1" 200 2748
0:0:0:0:0:0:0:1 - - [04/May/2018:17:26:47 +0530] "GET /papi-ui/js/sideMenu.js HTTP/1.1" 200 2507
0:0:0:0:0:0:0:1 - - [04/May/2018:17:26:47 +0530] "GET /papi-ui/js/utility.js HTTP/1.1" 200 12668
0:0:0:0:0:0:0:1 - - [04/May/2018:17:26:48 +0530] "GET /papi-ui/images/image1.jpg HTTP/1.1" 200 269302
0:0:0:0:0:0:0:1 - - [04/May/2018:17:26:48 +0530] "GET /papi-ui/login.html HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [04/May/2018:17:26:48 +0530] "GET /papi-ui/images/btightyellow.jpg HTTP/1.1" 200 103689
0:0:0:0:0:0:0:1 - - [04/May/2018:17:26:49 +0530] "GET /papi-ui/view/common/side_menu.html HTTP/1.1" 200 2243
0:0:0:0:0:0:0:1 - - [04/May/2018:17:26:49 +0530] "GET /papi-ui/view/home.html HTTP/1.1" 200 3214
0:0:0:0:0:0:0:1 - - [04/May/2018:17:26:49 +0530] "GET /papi-ui/css/home.css HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [04/May/2018:17:28:25 +0530] "GET /papi-ui/ HTTP/1.1" 200 5593
0:0:0:0:0:0:0:1 - - [04/May/2018:17:28:25 +0530] "GET /papi-ui/js/base.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:28:25 +0530] "GET /papi-ui/js/sideMenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:28:31 +0530] "GET /papi-ui/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:28:52 +0530] "GET /papi-ui/ HTTP/1.1" 200 5587
0:0:0:0:0:0:0:1 - - [04/May/2018:17:28:52 +0530] "GET /papi-ui/js/sideMenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:28:52 +0530] "GET /papi-ui/view/common/side_menu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:28:52 +0530] "GET /papi-ui/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:29:18 +0530] "GET /papi-ui/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:29:18 +0530] "GET /papi-ui/js/sideMenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:29:18 +0530] "GET /papi-ui/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:29:20 +0530] "GET /papi-ui/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:29:55 +0530] "GET /papi-ui/ HTTP/1.1" 200 5592
0:0:0:0:0:0:0:1 - - [04/May/2018:17:29:55 +0530] "GET /papi-ui/js/sideMenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:29:55 +0530] "GET /papi-ui/js/base.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:29:57 +0530] "GET /papi-ui/ HTTP/1.1" 304 -
